Date, Open_FBMKLCI, High_FBMKLCI, Low_FBMKLCI, Close_FBMKLCI
05/23/22,1542.53,1542.53,1542.53,1542.53
05/20/22,1549.12,1549.12,1549.12,1549.12
05/19/22,1549.41,1549.41,1549.41,1549.41
05/18/22,1554.91,1554.91,1554.91,1554.91
05/17/22,1548.6,1548.6,1548.6,1548.6
05/13/22,1544.41,1544.41,1544.41,1544.41
5/12/2022,1538.8,1538.8,1538.8,1538.8
5/11/2022,1555.93,1555.93,1555.93,1555.93
5/10/2022,1554.58,1554.58,1554.58,1554.58
5/9/2022,1549.18,1549.18,1549.18,1549.18
5/6/2022,1564.34,1564.34,1564.34,1564.34
5/5/2022,1582.98,1582.98,1582.98,1582.98
04/29/22,1600.43,1600.43,1600.43,1600.43
04/28/22,1597.31,1597.31,1597.31,1597.31
04/27/22,1585.98,1585.98,1585.98,1585.98
04/26/22,1596.68,1596.68,1596.68,1596.68
04/25/22,1589.98,1589.98,1589.98,1589.98
04/22/22,1601.97,1601.97,1601.97,1601.97
04/21/22,1598.32,1598.32,1598.32,1598.32
04/20/22,1593.75,1593.75,1593.75,1593.75
04/18/22,1581.14,1581.14,1581.14,1581.14
04/15/22,1589.01,1589.01,1589.01,1589.01
04/14/22,1595.7,1595.7,1595.7,1595.7
04/13/22,1597.18,1597.18,1597.18,1597.18
4/12/2022,1597.13,1597.13,1597.13,1597.13
4/11/2022,1604.61,1604.61,1604.61,1604.61
4/8/2022,1607.29,1607.29,1607.29,1607.29
4/7/2022,1600.79,1600.79,1600.79,1600.79
4/6/2022,1604.72,1604.72,1604.72,1604.72
4/5/2022,1596.79,1596.79,1596.79,1596.79
4/4/2022,1598.92,1598.92,1598.92,1598.92
4/1/2022,1602.41,1602.41,1602.41,1602.41
03/31/22,1587.36,1587.36,1587.36,1587.36
03/30/22,1583.22,1583.22,1583.22,1583.22
03/29/22,1583.42,1583.42,1583.42,1583.42
03/28/22,1597.95,1597.95,1597.95,1597.95
03/25/22,1603.3,1603.3,1603.3,1603.3
03/24/22,1598.97,1598.97,1598.97,1598.97
03/23/22,1597.88,1597.88,1597.88,1597.88
03/22/22,1585.81,1585.81,1585.81,1585.81
03/21/22,1587.16,1587.16,1587.16,1587.16
03/18/22,1591.26,1591.26,1591.26,1591.26
03/17/22,1590.88,1590.88,1590.88,1590.88
03/16/22,1571.32,1571.32,1571.32,1571.32
03/15/22,1557.41,1557.41,1557.41,1557.41
3/11/2022,1568.22,1568.22,1568.22,1568.22
3/10/2022,1580.53,1580.53,1580.53,1580.53
3/9/2022,1562.33,1562.33,1562.33,1562.33
3/8/2022,1546.87,1546.87,1546.87,1546.87
3/7/2022,1572.56,1572.56,1572.56,1572.56
3/4/2022,1603.94,1603.94,1603.94,1603.94
3/3/2022,1618.54,1618.54,1618.54,1618.54
3/2/2022,1598.1,1598.1,1598.1,1598.1
3/1/2022,1596.44,1596.44,1596.44,1596.44
02/28/22,1608.28,1608.28,1608.28,1608.28
02/25/22,1591.72,1591.72,1591.72,1591.72
02/24/22,1573.89,1573.89,1573.89,1573.89
02/23/22,1586.14,1586.14,1586.14,1586.14
02/22/22,1576.96,1576.96,1576.96,1576.96
02/21/22,1582.69,1582.69,1582.69,1582.69
02/18/22,1603.05,1603.05,1603.05,1603.05
02/17/22,1605.02,1605.02,1605.02,1605.02
02/16/22,1603.2,1603.2,1603.2,1603.2
02/15/22,1599.61,1599.61,1599.61,1599.61
02/14/22,1583.84,1583.84,1583.84,1583.84
2/11/2022,1578.89,1578.89,1578.89,1578.89
2/10/2022,1570.1,1570.1,1570.1,1570.1
