Date,Open,High,Low,Close,Adj Close,Volume
1/12/2003,3.787,3.8031,3.7857,3.7968,3.7968,0
2/12/2003,3.7964,3.8021,3.789,3.7971,3.7971,0
3/12/2003,3.7974,3.8037,3.7892,3.7902,3.7902,0
4/12/2003,3.7908,3.8075,3.783,3.7987,3.7987,0
5/12/2003,3.7959,3.8029,3.7884,3.7896,3.7896,0
8/12/2003,3.7937,3.8009,3.7914,3.7975,3.7975,0
9/12/2003,3.7978,3.8057,3.7876,3.7924,3.7924,0
10/12/2003,3.7922,3.8089,3.7907,3.8075,3.8075,0
11/12/2003,3.8075,3.8121,3.7775,3.7812,3.7812,0
12/12/2003,3.7804,3.8023,3.7793,3.8015,3.8015,0
15/12/2003,3.8302,3.832,3.789,3.7929,3.7929,0
16/12/2003,3.7921,3.8062,3.7898,3.8002,3.8002,0
17/12/2003,3.8013,3.8025,3.7888,3.794,3.794,0
18/12/2003,3.7943,3.8007,3.7782,3.7851,3.7851,0
19/12/2003,3.7858,3.8023,3.7848,3.7979,3.7979,0
22/12/2003,3.8063,3.8067,3.7925,3.8042,3.8042,0
23/12/2003,3.8042,3.8044,3.7947,3.8006,3.8006,0
24/12/2003,3.8012,3.8015,3.785,3.7909,3.7909,0
25/12/2003,3.7899,3.7941,3.7855,3.7922,3.7922,0
26/12/2003,3.7923,3.7992,3.7858,3.7977,3.7977,0
29/12/2003,3.797,3.8005,3.7879,3.7995,3.7995,0
30/12/2003,3.799,3.8011,3.7875,3.7914,3.7914,0
31/12/2003,3.7918,3.8336,3.7833,3.8124,3.8124,0
1/1/2004,3.8124,3.8477,3.8071,3.8147,3.8147,0
2/1/2004,3.815,3.8313,3.7932,3.8019,3.8019,0
5/1/2004,3.7849,3.8052,3.7758,3.7972,3.7972,0
6/1/2004,3.7966,3.8156,3.795,3.795,3.795,0
7/1/2004,3.8144,3.822,3.795,3.8052,3.8052,0
8/1/2004,3.8066,3.8232,3.79,3.7988,3.7988,0
9/1/2004,3.7983,3.8092,3.7857,3.7857,3.7857,0
12/1/2004,3.7885,3.818,3.787,3.8174,3.8174,0
13/1/2004,3.8162,3.8239,3.783,3.7833,3.7833,0
14/1/2004,3.7842,3.8248,3.7842,3.8205,3.8205,0
15/1/2004,3.8214,3.8246,3.794,3.7957,3.7957,0
16/1/2004,3.7955,3.8084,3.7925,3.7927,3.7927,0
19/1/2004,3.7956,3.8113,3.7941,3.8113,3.8113,0
20/1/2004,3.8124,3.8128,3.7936,3.7974,3.7974,0
21/1/2004,3.7991,3.8041,3.7847,3.787,3.787,0
22/1/2004,3.7869,3.8041,3.779,3.797,3.797,0
23/1/2004,3.797,3.8105,3.794,3.8073,3.8073,0
26/1/2004,3.8304,3.8344,3.795,3.8187,3.8187,0
27/1/2004,3.819,3.8272,3.7947,3.8011,3.8011,0
28/1/2004,3.8017,3.8595,3.7908,3.852,3.852,0
29/1/2004,3.8533,3.8533,3.7895,3.7923,3.7923,0
30/1/2004,3.7929,3.8009,3.7894,3.7947,3.7947,0
2/2/2004,3.7935,3.8076,3.7911,3.7965,3.7965,0
3/2/2004,3.8034,3.8142,3.795,3.8066,3.8066,0
4/2/2004,3.8036,3.8142,3.795,3.8026,3.8026,0
5/2/2004,3.8034,3.8198,3.795,3.8102,3.8102,0
6/2/2004,3.8101,3.8172,3.7905,3.7905,3.7905,0
9/2/2004,3.8033,3.8039,3.775,3.7932,3.7932,0
10/2/2004,3.7929,3.8163,3.7784,3.8128,3.8128,0
11/2/2004,3.8131,3.814,3.7901,3.7952,3.7952,0
12/2/2004,3.7949,3.8027,3.791,3.797,3.797,0
13/2/2004,3.797,3.8054,3.7916,3.7993,3.7993,0
16/2/2004,3.7981,3.8017,3.795,3.8017,3.8017,0
17/2/2004,3.8017,3.8036,3.7945,3.7953,3.7953,0
18/2/2004,3.7988,3.8424,3.7932,3.8244,3.8244,0
19/2/2004,3.8238,3.8299,3.7749,3.7774,3.7774,0
20/2/2004,3.7774,3.8168,3.7769,3.8055,3.8055,0
23/2/2004,3.8429,3.8582,3.795,3.7994,3.7994,0
24/2/2004,3.7993,3.8125,3.795,3.8046,3.8046,0
25/2/2004,3.8046,3.8063,3.795,3.8002,3.8002,0
26/2/2004,3.8004,3.8028,3.79,3.7976,3.7976,0
27/2/2004,3.7982,3.8022,3.7808,3.7824,3.7824,0
1/3/2004,3.7687,3.8004,3.7687,3.7959,3.7959,0
2/3/2004,3.7953,3.8033,3.79,3.8021,3.8021,0
3/3/2004,3.8027,3.8127,3.7599,3.7686,3.7686,0
4/3/2004,3.7692,3.8177,3.7692,3.8086,3.8086,0
5/3/2004,3.8083,3.8135,3.79,3.8004,3.8004,0
8/3/2004,3.8009,3.8073,3.7822,3.783,3.783,0
9/3/2004,3.7827,3.8435,3.7729,3.8336,3.8336,0
10/3/2004,3.7827,3.8435,3.7729,3.797,3.797,0
11/3/2004,3.7976,3.811,3.7649,3.7733,3.7733,0
12/3/2004,3.7733,3.8012,3.7718,3.79,3.79,0
15/3/2004,3.8038,3.8054,3.7854,3.7894,3.7894,0
16/3/2004,3.7903,3.8047,3.7839,3.7931,3.7931,0
17/3/2004,3.7944,3.8052,3.7802,3.804,3.804,0
18/3/2004,3.804,3.804,3.7509,3.7538,3.7538,0
19/3/2004,3.7544,3.803,3.7485,3.7906,3.7906,0
22/3/2004,3.788,3.8037,3.7658,3.7665,3.7665,0
23/3/2004,3.7669,3.801,3.7632,3.7673,3.7673,0
24/3/2004,3.7667,3.8388,3.7597,3.8309,3.8309,0
25/3/2004,3.8308,3.8369,3.795,3.8316,3.8316,0
26/3/2004,3.8319,3.8352,3.7916,3.8352,3.8352,0
29/3/2004,3.8387,3.8504,3.7929,3.8224,3.8224,0
30/3/2004,3.8224,3.8261,3.795,3.8171,3.8171,0
31/3/2004,3.8182,3.8195,3.7745,3.7773,3.7773,0
1/4/2004,3.7773,3.8018,3.7582,3.7612,3.7612,0
2/4/2004,3.7608,3.8365,3.7603,3.8346,3.8346,0
5/4/2004,3.8387,3.8743,3.7949,3.8711,3.8711,0
6/4/2004,3.87,3.8779,3.7853,3.8336,3.8336,0
7/4/2004,3.8339,3.8504,3.7951,3.8017,3.8017,0
8/4/2004,3.8028,3.8056,3.7941,3.8027,3.8027,0
9/4/2004,3.8019,3.8054,3.7919,3.8001,3.8001,0
12/4/2004,3.7983,3.8087,3.7961,3.8045,3.8045,0
13/4/2004,3.8043,3.8105,3.7942,3.8009,3.8009,0
14/4/2004,3.8012,3.8078,3.791,3.8037,3.8037,0
15/4/2004,3.8034,3.814,3.7926,3.7962,3.7962,0
16/4/2004,3.7955,3.8118,3.7944,3.8071,3.8071,0
19/4/2004,3.8012,3.805,3.795,3.8025,3.8025,0
20/4/2004,3.7955,3.8261,3.79,3.8188,3.8188,0
21/4/2004,3.8185,3.8263,3.79,3.81,3.81,0
22/4/2004,3.8096,3.8138,3.7856,3.7875,3.7875,0
23/4/2004,3.788,3.8011,3.7825,3.7843,3.7843,0
26/4/2004,3.8002,3.8109,3.7949,3.8027,3.8027,0
27/4/2004,3.8027,3.8096,3.79,3.8009,3.8009,0
28/4/2004,3.8016,3.8081,3.7925,3.7955,3.7955,0
29/4/2004,3.7957,3.8049,3.79,3.799,3.799,0
30/4/2004,3.8,3.8034,3.7929,3.7969,3.7969,0
3/5/2004,3.7936,3.8036,3.7923,3.7923,3.7923,0
4/5/2004,3.7995,3.8031,3.7918,3.7955,3.7955,0
5/5/2004,3.7964,3.8018,3.7842,3.8018,3.8018,0
6/5/2004,3.8011,3.8077,3.795,3.7987,3.7987,0
7/5/2004,3.7992,3.811,3.78,3.8011,3.8011,0
10/5/2004,3.7955,3.8149,3.795,3.8056,3.8056,0
11/5/2004,3.8054,3.8054,3.7938,3.794,3.794,0
12/5/2004,3.7941,3.807,3.7919,3.8004,3.8004,0
13/5/2004,3.7993,3.8048,3.7919,3.8046,3.8046,0
14/5/2004,3.8048,3.8067,3.79,3.7968,3.7968,0
17/5/2004,3.792,3.8014,3.7662,3.7933,3.7933,0
18/5/2004,3.7933,3.8091,3.7887,3.7981,3.7981,0
19/5/2004,3.7977,3.8022,3.7901,3.8015,3.8015,0
20/5/2004,3.8022,3.8079,3.7826,3.7866,3.7866,0
21/5/2004,3.7866,3.809,3.7799,3.794,3.794,0
24/5/2004,3.8164,3.8344,3.795,3.8049,3.8049,0
25/5/2004,3.8052,3.8084,3.79,3.8025,3.8025,0
26/5/2004,3.8026,3.8028,3.7924,3.796,3.796,0
27/5/2004,3.7957,3.803,3.7807,3.7987,3.7987,0
28/5/2004,3.8009,3.8032,3.794,3.7982,3.7982,0
31/5/2004,3.7933,3.8085,3.7919,3.7982,3.7982,0
1/6/2004,3.7987,3.8103,3.7918,3.7937,3.7937,0
2/6/2004,3.794,3.805,3.785,3.8026,3.8026,0
3/6/2004,3.8022,3.8127,3.7948,3.798,3.798,0
4/6/2004,3.7982,3.8022,3.7863,3.7942,3.7942,0
7/6/2004,3.7817,3.8008,3.7737,3.7967,3.7967,0
8/6/2004,3.797,3.808,3.795,3.8026,3.8026,0
9/6/2004,3.8024,3.8122,3.795,3.8005,3.8005,0
10/6/2004,3.7997,3.8037,3.795,3.8004,3.8004,0
11/6/2004,3.8009,3.8301,3.795,3.7986,3.7986,0
14/6/2004,3.8132,3.8166,3.795,3.8,3.8,0
15/6/2004,3.8006,3.8026,3.788,3.799,3.799,0
16/6/2004,3.799,3.806,3.795,3.7991,3.7991,0
17/6/2004,3.799,3.8091,3.795,3.8088,3.8088,0
18/6/2004,3.8088,3.8199,3.795,3.7981,3.7981,0
21/6/2004,3.8005,3.808,3.7933,3.7936,3.7936,0
22/6/2004,3.7939,3.8015,3.7911,3.7911,3.7911,0
23/6/2004,3.7911,3.8005,3.7833,3.7993,3.7993,0
24/6/2004,3.799,3.8119,3.7924,3.7976,3.7976,0
25/6/2004,3.7985,3.807,3.7845,3.7845,3.7845,0
28/6/2004,3.8064,3.8127,3.7938,3.7974,3.7974,0
29/6/2004,3.7973,3.8041,3.7949,3.7949,3.7949,0
30/6/2004,3.7941,3.8113,3.7905,3.8059,3.8059,0
1/7/2004,3.8062,3.8126,3.795,3.8033,3.8033,0
2/7/2004,3.803,3.8068,3.7919,3.8005,3.8005,0
5/7/2004,3.7974,3.8031,3.7929,3.7929,3.7929,0
6/7/2004,3.7967,3.8061,3.7929,3.8061,3.8061,0
7/7/2004,3.8058,3.8083,3.795,3.7989,3.7989,0
8/7/2004,3.7992,3.8047,3.7949,3.7976,3.7976,0
9/7/2004,3.7976,3.8008,3.7894,3.7954,3.7954,0
12/7/2004,3.8001,3.8078,3.7938,3.7979,3.7979,0
13/7/2004,3.7984,3.8125,3.7947,3.799,3.799,0
14/7/2004,3.7987,3.8037,3.7935,3.8031,3.8031,0
15/7/2004,3.8039,3.8073,3.7932,3.7943,3.7943,0
16/7/2004,3.7938,3.803,3.7897,3.798,3.798,0
19/7/2004,3.7936,3.8012,3.7915,3.7976,3.7976,0
20/7/2004,3.798,3.8074,3.795,3.7998,3.7998,0
21/7/2004,3.7995,3.8081,3.7865,3.792,3.792,0
22/7/2004,3.7926,3.8007,3.7892,3.7964,3.7964,0
23/7/2004,3.7964,3.8034,3.793,3.7995,3.7995,0
26/7/2004,3.8036,3.8036,3.789,3.8,3.8,0
27/7/2004,3.8005,3.8039,3.793,3.7978,3.7978,0
28/7/2004,3.7974,3.8062,3.793,3.7987,3.7987,0
29/7/2004,3.7987,3.8023,3.7908,3.7993,3.7993,0
30/7/2004,3.7993,3.8018,3.785,3.8001,3.8001,0
2/8/2004,3.7889,3.8051,3.7818,3.8045,3.8045,0
3/8/2004,3.8042,3.8059,3.795,3.7987,3.7987,0
4/8/2004,3.7984,3.8075,3.795,3.7965,3.7965,0
5/8/2004,3.7962,3.8033,3.795,3.802,3.802,0
6/8/2004,3.8016,3.8023,3.7539,3.7893,3.7893,0
9/8/2004,3.8157,3.8166,3.795,3.8005,3.8005,0
10/8/2004,3.7994,3.8064,3.795,3.7987,3.7987,0
11/8/2004,3.7987,3.8005,3.795,3.7974,3.7974,0
12/8/2004,3.7979,3.806,3.7917,3.8046,3.8046,0
13/8/2004,3.8049,3.807,3.7948,3.7985,3.7985,0
16/8/2004,3.7975,3.8013,3.795,3.7978,3.7978,0
17/8/2004,3.7981,3.8007,3.794,3.7981,3.7981,0
18/8/2004,3.7984,3.8009,3.7919,3.7954,3.7954,0
19/8/2004,3.7956,3.8008,3.792,3.7972,3.7972,0
20/8/2004,3.7969,3.8005,3.7943,3.7949,3.7949,0
23/8/2004,3.8017,3.8065,3.795,3.7973,3.7973,0
24/8/2004,3.7971,3.8189,3.795,3.7976,3.7976,0
25/8/2004,3.7966,3.805,3.795,3.8009,3.8009,0
26/8/2004,3.8018,3.8059,3.79,3.7943,3.7943,0
27/8/2004,3.7946,3.8047,3.7868,3.8014,3.8014,0
30/8/2004,3.8017,3.8087,3.795,3.8004,3.8004,0
31/8/2004,3.8002,3.801,3.7883,3.798,3.798,0
1/9/2004,3.798,3.8021,3.7924,3.7996,3.7996,0
2/9/2004,3.7993,3.8016,3.7938,3.7955,3.7955,0
3/9/2004,3.795,3.8036,3.7903,3.8036,3.8036,0
6/9/2004,3.7958,3.8035,3.7928,3.8019,3.8019,0
7/9/2004,3.8017,3.8047,3.7928,3.7967,3.7967,0
8/9/2004,3.7971,3.8039,3.7931,3.8,3.8,0
9/9/2004,3.8001,3.8025,3.7831,3.7836,3.7836,0
10/9/2004,3.7831,3.8023,3.7819,3.7989,3.7989,0
13/9/2004,3.7986,3.8058,3.795,3.7977,3.7977,0
14/9/2004,3.7974,3.8028,3.7946,3.7985,3.7985,0
15/9/2004,3.798,3.8055,3.7949,3.7987,3.7987,0
16/9/2004,3.799,3.8018,3.7951,3.7982,3.7982,0
17/9/2004,3.7993,3.8043,3.7904,3.7973,3.7973,0
20/9/2004,3.7995,3.8049,3.7947,3.7972,3.7972,0
21/9/2004,3.7969,3.8009,3.7868,3.7963,3.7963,0
22/9/2004,3.7963,3.8012,3.7949,3.7967,3.7967,0
23/9/2004,3.7966,3.8044,3.7938,3.8008,3.8008,0
24/9/2004,3.8008,3.8041,3.794,3.7961,3.7961,0
27/9/2004,3.7905,3.8025,3.7883,3.7957,3.7957,0
28/9/2004,3.7952,3.8025,3.794,3.7986,3.7986,0
29/9/2004,3.8006,3.8028,3.795,3.7967,3.7967,0
30/9/2004,3.7961,3.8018,3.795,3.8009,3.8009,0
1/10/2004,3.8003,3.8044,3.795,3.7979,3.7979,0
4/10/2004,3.8032,3.8147,3.7973,3.7994,3.7994,0
5/10/2004,3.7997,3.8065,3.795,3.8034,3.8034,0
6/10/2004,3.8037,3.8038,3.7931,3.7966,3.7966,0
7/10/2004,3.7962,3.8019,3.7929,3.7978,3.7978,0
8/10/2004,3.7971,3.802,3.78,3.8016,3.8016,0
11/10/2004,3.7975,3.8013,3.7943,3.7966,3.7966,0
12/10/2004,3.7963,3.8039,3.7905,3.7942,3.7942,0
13/10/2004,3.7942,3.8007,3.7891,3.7973,3.7973,0
14/10/2004,3.797,3.811,3.7947,3.8008,3.8008,0
